image_name,psnr_degraded,psnr_restored,ssim_degraded,ssim_restored
002484.npy,24.422,24.432,0.4075,0.4078
002494.npy,21.014,21.031,0.6672,0.6675
002495.npy,17.406,17.425,0.5051,0.5055
002533.npy,22.793,22.811,0.8756,0.8757
002561.npy,22.574,22.586,0.4402,0.4405
002570.npy,16.479,16.496,0.1743,0.1745
002574.npy,29.803,29.817,0.6163,0.6168
002584.npy,20.695,20.706,0.39,0.3902
002600.npy,14.893,14.909,0.1297,0.1298
002603.npy,15.774,15.782,0.1229,0.123
002617.npy,30.363,30.361,0.7268,0.7266
002619.npy,25.865,25.868,0.5398,0.5397
002621.npy,23.684,23.698,0.3698,0.3702
002625.npy,15.052,15.071,0.1891,0.1894
002633.npy,15.731,15.746,0.2614,0.2617
002646.npy,15.777,15.796,0.071,0.0711
002654.npy,21.602,21.616,0.6445,0.6448
002661.npy,26.441,26.456,0.4751,0.4755
002671.npy,16.582,16.596,0.3156,0.3159
002676.npy,17.209,17.227,0.1291,0.1294
002684.npy,18.198,18.215,0.3567,0.357
002699.npy,14.663,14.68,0.1738,0.174
002702.npy,17.737,17.75,0.1061,0.1062
002708.npy,33.554,33.544,0.8977,0.8978
002740.npy,16.194,16.207,0.1483,0.1485
002745.npy,22.938,22.951,0.4322,0.4325
002751.npy,18.594,18.6,0.3945,0.3946
002758.npy,14.816,14.836,0.2523,0.2527
002771.npy,27.264,27.283,0.7736,0.7739
002786.npy,27.964,27.979,0.8833,0.8834
002787.npy,28.293,28.305,0.8735,0.8736
002792.npy,19.15,19.165,0.195,0.1953
002799.npy,23.437,23.453,0.4269,0.4273
002804.npy,18.292,18.306,0.3233,0.3235
002818.npy,16.894,16.91,0.2564,0.2566
002825.npy,25.091,25.108,0.6844,0.6848
002859.npy,17.984,17.996,0.0713,0.0714
002872.npy,23.829,23.839,0.3572,0.3574
002874.npy,20.631,20.637,0.1612,0.1615
002885.npy,15.217,15.235,0.248,0.2483
002899.npy,15.657,15.676,0.3984,0.3988
002920.npy,28.966,28.978,0.9353,0.9353
002931.npy,20.503,20.522,0.5614,0.5617
002932.npy,23.347,23.362,0.5337,0.534
002940.npy,33.959,33.954,0.9071,0.9072
002943.npy,16.77,16.783,0.2326,0.2329
002947.npy,17.729,17.747,0.4808,0.4811
002952.npy,23.925,23.939,0.5279,0.5281
002954.npy,17.264,17.276,0.212,0.2122
002957.npy,18.886,18.901,0.3911,0.3914
002978.npy,21.697,21.7,0.4079,0.408
002986.npy,33.417,33.428,0.8977,0.8979
002988.npy,29.688,29.699,0.7175,0.7179
003016.npy,15.905,15.922,0.4922,0.4925
003019.npy,15.312,15.329,0.1185,0.1187
003033.npy,18.863,18.88,0.4469,0.4473
003037.npy,16.95,16.958,0.2952,0.2953
003051.npy,19.839,19.843,0.098,0.0982
003053.npy,26.803,26.816,0.6797,0.68
003059.npy,27.467,27.485,0.4289,0.4295
003083.npy,22.651,22.666,0.3973,0.3977
003108.npy,15.708,15.725,0.1453,0.1456
003127.npy,16.407,16.421,0.0748,0.075
003139.npy,16.371,16.384,0.3598,0.36
003142.npy,16.721,16.728,0.0618,0.0619
003151.npy,25.357,25.367,0.4882,0.4884
003158.npy,23.936,23.95,0.4915,0.4919
003159.npy,28.473,28.484,0.7271,0.7274
003168.npy,17.56,17.568,0.1849,0.185
003172.npy,16.33,16.342,0.0923,0.0925
003174.npy,20.827,20.844,0.2669,0.2672
003184.npy,18.658,18.668,0.6133,0.6134
003192.npy,26.625,26.633,0.4795,0.4798
003198.npy,16.226,16.232,0.2457,0.2458
